"Status","Name","Duration in ms","Description"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11340","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10758","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10036","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9612","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10031","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11461","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9292","验证核心科目1年增速PS-2020估值"
"broken","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10436","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11150","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10200","验证核心科目1年增速PS-2020估值"
"failed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","13064","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11421","验证核心科目1年增速PS-2020估值"
"broken","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","13934","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8996","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9897","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9023","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9794","验证核心科目1年增速PS-2020估值"
